#List
abase v.降低···的地位，贬抑，使卑下
menace v./n.威胁，危险
#List
mend v.修改，改进
mendacious a.不真的；撒谎的
mendacity n.虚假
mendicant a.行乞的；n.乞丐
menthol n.薄荷醇
mentor n.导师，(无经验人的)有经验、可相信的顾问
merit v.值得；n.优点
merited a.该得的，理所当然的
mesmerism n.催眠术，催眠引导法
mete v.给予，分配；测量；n.边界
metrical a.测量的；韵律的，诗体的
mettle n.勇气，斗志
microbe n.微生物
mien n.风采，态度
miff n.小争吵
mighty a.强有力的，强大的
militia n.民兵
milk v.榨取，骗取(钱、情报)
mince v.切碎；（贬）装腔作势地小步走路
mingle v.混合
minnow n.鲦鱼，小淡水鱼
mint n.大量；巨额；造币厂；薄荷(糖)
minuet n.小步舞
minutes n.会议记录
minutia n.细枝末节，细节
mirage n.幻影，海市蜃楼
mirth n.欢乐，欢笑
miscellany n.混合物
miscreant n.恶棍，歹徒
miserly a.吝啬的，贪婪的
misgiving n.担心，疑虑
misperceive v.误解
misrepresentation n.误传，歪曲
misshapen a.畸形的，奇形怪状的
missive n.信件，（尤指)公函
mistral n.寒冷且干燥的强风
mnemonics n.记忆法，记忆规则
moan v./n.(痛苦地/的)呻吟；(不满地/的)抱怨
moat n.壕沟；护城河
mobile a.易于移动的
mobility n.可动性，流动性
mock v.嘲笑；模仿地嘲弄
mode n.(衣着、艺术的)样式，时尚；模式
modicum n.少量
modish a.时髦的
moldy a.发霉的
molest v.骚扰，困扰
mollycoddle v.过分爱惜，娇惯；n.娇生惯养的人
moment n.瞬间；重要；(物)力矩
momentum n.推进力，势头；(物)动量
monarch n.君主，帝王
monocle n.单片眼镜
monograph n.专题论文
monolithic a.整块巨石的；巨大的
monologue n.(电影、戏剧中的)独白；个人长篇演说
monopoly n.专利权，垄断
monsoon n.季雨，季风
monstrous a.巨大的；丑陋的，外表可怕的
moody a.喜怒无常的；抑郁的
mope v.抑郁，闷闷不乐 n.情绪低落
morale n.士气，精神力量
mores n.风俗习惯，道德观念
moribund a.即将结束的；垂死的
morsel n.一小块(食物)；小量
mortgage n.抵押贷款；抵押证书；v.用…作抵押
mortification n.耻辱，屈辱
mote n.微粒，微尘
motile a.能动的
motility n.运动性，游动性
motto n.座右铭；格言
mourn v.哀悼，哀伤
muck n.堆肥，粪肥 v.施肥；捣乱
muddy a.多泥的，泥泞的；浑浊的，不清的
muffle v.使声音降低；裹住
muggy a.（天气）闷热而潮湿的
mulish a.骡一样的，执拗的，顽固的
mull v.思考，思索 n.混乱
multifarious a.多种的，各式各样的
multiplicity n.多样性
mumble v.咕哝，含糊不清地说
munch v.用力咀嚼，出声咀嚼
municipality n.自治市；市政当局(指城市行政区及管理者)
muniments n.契约
munition n.军火，弹药
murmur v.低声地说，喃喃而言
muse v.沉思，冥想
mushy a.糊状的；感伤的，多情的
musket n.旧式步枪，毛瑟枪
mutate v.（生）变异
mute a.沉默的；v.减弱声音；n.(乐器的)弱音器
muted a.(声音)减弱的，变得轻柔的
mutineer n.反叛者，背叛者
mutinous a.叛变的；反抗的
mutter v.小声咕哝，嘀咕
muzzy a.头脑糊涂的
myopia n.(医)近视；缺乏远见
myopic a.近视眼的；缺乏远见的
nadir n.最低点
nag v.(贬)不断挑剔或批评某人；不断烦扰或伤害某人
naive a.天真的，纯朴的
namby-pamby a.乏味的；懦弱的 n.懦弱的人
narcissism n.自恋，自爱，自我陶醉
narcissist n.自负的人，自恋者
nasal a.鼻的；有鼻音的
nascent a.初生的，萌芽的
natal a.出生时的，诞生时的，先天的
nausea n.作呕，恶心
nauseate v.使作呕，使厌恶
nautical a.船员的，航海的
naysay v.拒绝，说不
naysayer n.怀疑者，否定者
necessitous a.贫困的；紧迫的
needle n.针；针叶
nefarious a.极恶毒的，邪恶的
negation n.否定，拒绝
negligence n.粗心，疏忽
nemesis n.报应
neologism n.新字，新词
neonate n.新生儿
neophyte n.初学者，新手
nerve n.勇气；神经；v.给予力量或勇气
nethermost a.最低的，最下面的
nettle n.荨麻；v.烦忧，激恼
neurology n.神经学
neurosis n.神经官能症
neutralize v.使无效；中和
nifty a.极好的，极妙的
niggle v.拘泥小节；小气地给
niggling a.琐屑的
nil n.无，零
nimble a.敏捷的，灵活的
nip v.小口啜饮
nomad n.流浪者；游牧部落的人
nominate v.提名；任命，指定
nonplus v.使窘困迷惑；n.迷惑，窘境
noose n.绳圈，套索
nostrum n.骗人的药、疗法；万灵丹，妙策
noxious a.有害的，有毒的
nucleate v.使成核；a.有核的
nugatory a.无价值的，琐碎的
nullify v.使无效，取消
numinous a.超自然的，神的
numismatist n.钱币学家，钱币收藏家
oasis n.绿洲
oath n.誓言；咒骂
obedient adj.顺从的，服从的
obeisance n.鞠躬，敬礼(表示尊敬或服从)
objection n.厌恶，反对
objective a.客观的；n.目标
oblige v.束缚，强迫；为…效力
oblique a.间接的，不坦率的；斜的
obloquy n.大骂，公开斥责
obnoxious a.令人不愉快的；可憎的
observance n.(对法律、习俗等的)遵守，奉行
obsess v.迷住；使…困窘，使…烦扰
obsession n.入迷，着迷；执念
#List
obsolete a.废弃的；过时的
obstinate a.固执的，倔强的
obstreperous a.吵闹的；难管束的
obstruction n.阻碍(物)，妨碍
obtrude v.突出；强加
obtuse a.愚笨的；迟钝的
obverse n./a.正面(的)
occlude v.使闭塞
occult a.秘密的，不公开的
ocular a.眼睛的；视觉的
ode n.长诗，颂歌
odium n.憎恶，反感
odometer n.（汽车）里程表
odoriferous a.有气味的
offbeat a.非传统的，不平常的
offend v.得罪，冒犯
offensive a.令人不快的，得罪人的
offish a.冷淡的，疏远的
offset v.补偿，抵消
ogle v.送秋波，色迷迷地看(女子)；n.媚眼
ointment n.油膏，软膏
oleaginous a.油腻的；圆滑的，满口恭维的
olfactory a.嗅觉的
omelet n.煎蛋卷
omnipresent a.无处不在的
omniscient a.无所不知的，博识的
omnivorous a.杂食的；兴趣杂的
onset n.(坏情况)开始，发作；攻击，袭击
onslaught n.猛攻，猛袭
onus n.义务，负担
ooze v.慢慢地流，渗出；（勇气）逐渐消失
opalescence n.(不透明的)乳白光
opaque a.不透明的；难懂的
opine v.想，以为
oppose v.反对
oppress v.压迫，压制
oracle n.代神发布神谕的人
oracular adj.神谕的，玄妙难懂的
oratory n.演讲术
orchard n.果园
ordain v.任命(神职)；颁发命令
ordinance n.法令，条例
orient a.上升的；v.确定方向；使熟悉情况
ornate a.(贬)华美的；充满装饰的，重度装饰的
ornery a.顽固的，爱争吵的
orotund a.(声音）洪亮的
orthodox a.正统的
oscillate v.摆动；(思想、想法、感情)摇摆不定
osmosis n.渗透；(思想、观念)潜移默化
osseous a.骨的，多骨的
ostensible a.表面上的
ostracism n.放逐，排斥(出某集团)
other-directed a.受人支配的
otiose a.不必要的，多余的
outfox a.以机智胜过
outlandish a.古怪的
outlet n.出口
outmaneuver v.以策略制胜
outset n.开始，开头
outshine v.比…更好，比…更出色
outwit v.以机智胜过
oven n.烤箱，烤炉，灶
overbearing a.专横的，独断的
overflow v.溢出；充满，洋溢
overhaul v.彻底检查；大修
overreach v.做事过头(而失败)
overriding a.最主要的，优先的，首要的
oversee v.监督
oversight n.疏忽，失察，勘漏
overthrow v./n.推翻；终止
overture n.前奏曲，序曲
overweening a.自负的，过于自信的
oxidize v.氧化，生锈
pacify v.使安静，抚慰
pact n.协定，条约
pagan n.没有宗教信仰的人；异教徒(指不信犹太教、基督教、伊斯兰教恶人)
painstaking a.煞费苦心的，辛苦的
palate n.上腭；口味，味觉；品位，爱好
palatial a.宫殿般的；宏伟的
palaver n.空谈 /v. 空谈
palette n.调色板，颜料配置
pall v.（因过多或过久而）令人发腻，失去吸引力
palliate v.减轻(痛苦)；掩饰(罪行)
palliative n.缓释剂；a.减轻的，缓和的
pallid a.苍白的，没血色的
palpitate v.(心脏)急速而不规则地跳动
pamper v.纵容，过分关怀
pan v.严厉批评
pandemonium n.喧嚣，大混乱
pander v.怂恿，迎合(不良欲望)
pane n.窗格玻璃
pang n.一阵剧痛
panic a.恐慌的；n.恐慌，惊惶
panorama n.概观，全景
panoramic a.全景的，全貌的，概论的
parallelism n.平行，类似
paralyze v.使瘫痪；使无效
parch v.烘烤；烤焦
pare v.削皮；修剪；削减，缩减
parity n.(水平，地位，数量等的)同等，相等
parley n./v. 和谈；会谈
parlous a.靠不住的，危险的
parochial a.教区的；地方性的，狭小的
parry v.挡开，避开(武器，问题等)
particularize v.详述，逐一列举
partition n.隔开；隔墙
parturition n.生产，分娩
passe a.已过盛年的；过时的
passive a.被动的，缺乏活力的，消极的
pastiche n.(音乐、文学、艺术等)混合拼凑的作品
pastry n.糕点，点心
patch n.补丁；一小片(土地)
patent a.显而易见的；n.专利权(证书)
pathetic a.引起怜悯的，令人难过的
pathology n.病理学
patriot n.爱国者，爱国主义者
patriotism n.爱国主义，爱国心
pauper n.贫民；乞丐
pavid a.害怕的，胆小的
pawn v./n. 典当，抵押
peachy a.极好的，漂亮的
peak v.憔悴，消瘦
peaky adj.消瘦的，虚弱的
pecan n.山核桃
peck v.啄食；轻啄
peckish a.饿的；急躁的
peculate v.挪用（公款）
pedal n.踏板，脚蹬；v.骑脚踏车
peddle v.兜售
pedestal n.(柱石或雕像的)基座
peek v.偷看
peel v.削去…的皮；剥落；n.外皮
peep n./v.瞥见，偷看；初现
peer n.同等之人，同辈
peery a.陀螺
peeve v.使气恼，使发脾气
pell-mell adv.混乱地，乱糟糟地
pellucid a.清晰的，清澈的
pelt v.扔 n.毛发
penance n.自我惩罚
pendent a.吊着的，悬挂的
pendulous a.下垂的
pendulum n.摆，钟摆
penetrate v.刺穿；渗入；了解，洞察
penicillin n.盘尼西林，青霉素
penury n.贫穷；吝啬
perambulate v.（以漫步）巡视；漫步
perch v.(鸟)栖息
percolate v.过滤出；渗透
peremptory a.(命令)不容反抗的，强制的；(人，举止)专横的
perfidy n.不忠，背叛
perforate v.打洞，穿孔
peril n.危险
periphrastic a.迂回的，冗赘的
perish v.死，毁灭
perishing a.严寒的
#List
perjure v.使作伪证，发假誓
perjury n.伪证，假誓
perk v.恢复，振作 ；打扮
perky a.神气的，活泼的
perpetual a.连续不断的；永久的
persecute v.(宗教、政治、宗族)迫害
persiflage n.(善意的)嘲弄、玩笑
persistence n.坚持不懈，持续
persnickety a.势力的；爱挑剔的
pertain v.属于，依附于；关于，与…有关联
pertinacious a.固执的；无法驾御的；不妥协的
peruse v.细读，精读
perverse a.刚愎自用的，固执的
pervert v.使堕落；滥用，歪曲
pervious a.可渗透的
pester v.纠缠，强求
pestilent a.致死的；有害的
pestle n.(捣碎或研磨用的)杵
petal n.花瓣
petitioner n.请愿人
petrify v.石化；吓呆
pettish a.易怒的，闹情绪的
petty a.琐碎的，不重要的；小心眼的，气量小的
petulance n.发脾气，性急，暴躁
phantom n.鬼怪，幽灵；幻像，幻觉
pharisaic a.伪善的，伪装虔诚的
pharmacology n.药理学，药物学
philately n.集邮
philology n.语文学，语文研究
phoenix n.凤凰，长生鸟，永生或再生的象征
phony a.假的，欺骗的
picayunish a.微不足道的，不值钱的
pictorial a.绘画的；有图片的，用图片表示的
piddle v.鬼混，浪费
piddling a.(贬)琐碎的，微不足道的
piebald a.花斑的，黑白两色的
piecemeal a.一件一件的，零件的
pied a.杂色的
pierce v.刺透；穿过
pigment n.天然色素；干粉颜料
pilfer v.偷窥
pillage n.抢劫，掠夺 v.抢夺
pilot n.飞行员；领航员；领导人
pinch v.捏，掐；n.一撮，一点
piquant a.辛辣而开胃的；兴奋的
pique n./v.(因自尊心受伤害而导致的)不悦，愤怒；v.激怒，冒犯
pirate n.海盗；剽窃者，盗版者；v.掠夺；盗印
pirouette n./v.(舞蹈)脚尖立地的旋转
piscatorial a.捕鱼的，渔业的
piteous a.可怜的
pith n.精髓，要点
pittance n.微薄的薪俸，少量的收入
pivot n.枢轴，中心 v.旋转
placard n.招贴，布告 v.张贴布告
plagiarize v.剽窃，抄袭
plague n.瘟疫；讨厌的人或物；v.烦扰(尤指一再询问或要求)
plain a.简单的；清楚的；n.平原
plait n.发辫；v.编成辫
plangent a.(声音)轰鸣的；(声音)悲哀的
plank n.厚木板；要点 v.铺板
plaster n.灰泥，石膏；v.抹灰泥
plateau n.高原；平稳的状态
platonic a.理论的；纯精神上的，纯友谊的，没有感官性欲的
plaudit v.喝彩，赞扬
plaza n.广场的；集市
plead v.恳求；提出…为理由，辩护
pleat n.(衣服上的)褶
plebeian n.平民 a. 平民的；平庸的，粗俗的
pledge n.誓言，保证；v.发誓
plenary a.全体出席的；完全的，绝对的，无限的
plenitude n.完全，充分；大量
plentitude n.充分
pleonastic a.冗言的
plod v.重步走；吃力地干
plough n.犁；v.用犁耕地
ploy n.花招，策略
plumber n.管子工，铅管工
plummet v.垂直或突然坠下；n.测深锤
plunder v.抢劫，掠夺
pluralist n.兼职者，兼任数个宗教职位者
plush a.豪华的
poach v.偷猎，窃取
pod n.豆荚；v.剥掉(豆荚)
podiatrist n.足医
podium n.(乐队)指挥台，讲坛
poignancy n.辛辣；尖锐
poisonous a.有毒的；有害的
poke v.刺，戳；嘲弄
polemic n.争论，论战
polemical a.挑起论战的
poll n.民意测验；选举投票
pollster n.民意测验家
polymath n.博学者
poncho n.斗篷，披风；雨衣
ponder v.仔细考虑
ponderable a.可估量的
pontifical a.(贬)自以为是的，自大的；武断的
poohed a.疲倦的
pool n.资源的集合；可共享的物资
portentous a.凶兆的，不祥的
posit v.断定，假定…为实
positiveness n.肯定，确定
poster n.海报，招贴画
postiche a.伪造的，假的 n.伪造品；假发
potation n.饮，喝；饮料(尤指酒)
potboiler n.粗制滥造的文艺作品
potentate n.统治者，当权者
potentiate v.加强(力量，效果)
pother n.喧闹，骚动
potpourri n.混杂物；杂文集
pouch n.小袋 v.使成袋状
pound v.猛击，连续重击 （心脏）狂跳，怦怦地跳
prance v.昂首阔步
prank n.恶作剧，玩笑
prate v.瞎扯，胡说；唠叨，喋喋不休
preach v.传教，讲道
preamble n.(书，演讲)前言，序言；事情的先兆
precept n.箴言，格言
precocious a.(儿童)早熟的
predilection n.偏爱，爱好
preen v.(鸟)整理羽毛；(人)打扮修饰
prefigure v.预示
prehensile a.能抓住东西的，缠绕的
prelude n.(行动，事情的)序幕，前奏
premiere n./v.(电影，戏剧)首次公演
premium n.保险费；奖金
preponderant adj.占优势的，突出的，压倒性的
preponderate v.(重量上，重要性上)压倒，超过
prepossessing a.给人好感的
preposterous a.荒谬的，完全违背常理的
presage n.(多指不祥的)预感；v.(不祥)预示
presentation n.介绍；描述
presentiment n.预感
preside v.担任主席；负责；指挥
pressing a.紧迫的，迫切的；恳切要求的
prestige n.威信，威望，声望
presumption n.冒昧，专横；假定
pretence n.假装；借口
pretension n.自傲，骄傲；要求，主张
pretext n.借口
prevaricate v.支吾其词，搪塞，说谎
preview v./n.(电影，戏剧，展览会)预演，预展
prevision n.预知，先见
prey n.被捕食的动物；受害者
prime n.全盛时期；a.最初的，原始的；首要的
privation n.生活必需品的匮乏、贫困
privilege n.特权，特别利益
probe v.探索，探测
proceeds n.收入，实收款项
procession n.(人，车)行列，队伍；列队前进
proclaim v.宣告，宣布；表明，显示
procrastinate v.（贬）(习惯性地)耽搁，拖延
procrustean a.强求一致的
profane v.亵渎，玷污
proffer n./v.献出，提供；提议，建议
profiteer n.奸商，牟取暴利者，大发不义之财者
#List
profligate a.挥霍的，浪费的；n.恣意挥霍者
progenitor n.祖先
progeny n.后代，子女
prognosis n.预后，对疾病的发作及结果的预言
prognosticate v.预言，预示
projectile n.抛射物，发射体
projection n.凸出物，隆起物；设计，规划；发射，投射
projector n.电影放映机，幻灯机
prolix a.(说话、写作)啰嗦的，冗长而乏味的
prologue n.开场白；序幕，一系列事情的开端
promenade v./n.散步；开车兜风
promissory a.允诺的，约定的
prompt v.促使，激起；a.敏捷的，迅速的
prong v.刺，贯穿 n.叉子；齿状物
prop n.支撑物；后盾，靠山；v.支持
prophecy n.预言
prophet n.先知，预言家
propulsion n.推进力
prorogue v.休会；延期
prosecution n.起诉；实行，经营，从事
prosperity n.繁荣；幸运；健康
prosperous a.(尤指经济)繁荣富强的
protean a.变化多端的，多变的
protocol n.外交礼节；(外交协议的)草案
protuberance n.凸出，隆起
protuberant a.凸出的，隆起的
provenance n.(艺术等的)出处，起源
proverbially adv.人尽皆知的
providential a.幸运的；(时机)恰到好处的
prowess n.勇敢；不凡的能力
prowl v.潜行于，偷偷地漫游 n.四处觅食，徘徊
prude n.拘守礼节的人
prune n.梅干；v.修剪（树木等）
pry v.刺探，打听；撬开 n.撬杆，杠杆
puerile a.幼稚的；儿童的
puffery n.极力称赞，吹捧，夸大广告
puissant a.强有力的，强大的
pulchritude n.美丽，标致
pullet n.小母鸡
pullulate v.繁殖；充满
pulp n.果肉酱；纸浆
pulpit n.讲道坛
pulverize v.压成细粉；彻底击败
punch v.以拳猛击；打洞；
punctilious a.谨慎的，一丝不苟的
pundit n.权威人士，专家
puny a.弱小的，发育不良的
purgatory n.(天主教教义中的)炼狱；受苦受难的地方
purge v.清洗，清除(政敌)；净化心灵，洗涤罪恶
purify v.使洁净，净化
purloin v.偷窃
purported a.谣传的，声张的，号称的
purse v.缩拢，皱起；n.钱包
purvey v.(大量)供给，供应(尤指粮食)
pushy a.有进取心的，爱出风头的，固执己见的
pusillanimous a.胆小的
putative a.公认的，推定的
putrefy a.使腐烂
putrid a.腐臭的
quack n.冒充内行之人；庸医
quaff v.痛饮，畅饮
quail v.畏惧，颤抖
quandary n.困惑，进退两难
queer a.奇怪的，反常的
quell v.制止，镇压
quench v.熄灭(火)；抑制(欲望，情感)；
query v.质疑，疑问；n.问题，疑问
queue v.排队；n.长队
quibble n.遁词，回避正题的话；吹毛求疵的反对意见或批评
quirk n.奇事；怪癖
quondam a.原来的，从前的
quota n.定额，配额
quotidian a.每日发生的；平凡的，普通的
rabble n.乌合之众，暴民；下等人
rabid a.患狂犬病的；失去理性的，极端的，疯狂的
rack v.使痛苦不堪，使受折磨
raff n.大量，许多
rakish a.潇洒的；放荡的，不拘俗套的
ramble n./v.漫步
rambunctious a.骚乱的；喧闹的
rampage v.狂暴地乱冲；n.暴怒，暴行
rankle v.使怨恨；激怒
ransom n.赎金；赎身；v.赎回
rant v.咆哮，强烈指责；口出狂言
rapacious a.强夺的，抢劫的；贪婪的(尤指财物)
rapids n.(河的)急流，湍流
rapport n.和睦，意见一致，融洽和谐关系
rapprochement n.和好，友好关系的恢复(尤指国家间)
rapt a.专心致志的，全神贯注的
rarefaction n.稀薄
rasp v.发出刺耳声音；锉
raspy a.(声音)刺耳的；恼人的
ratification n.正式批准
ratiocination n.推理；推论
ration n.(尤指食物短缺时)定量配给；v.(按定量)配给
rattle v.使格格作响；使慌乱
ravel v.(线，情感)纠缠，纠结；(线)拆开，拆散
ravening a.狼吞虎咽的；贪婪的
ravenous a.饿极了的；贪婪的
ravish v.使着迷；强夺
ravishing a.令人陶醉的，使人入迷的
razor n.剃刀，刮胡刀
readily adv.不迟疑地，乐意地；轻易地
ready a.机敏的，迅速的
realign v.重新组合(排列)
reap v.收割，收获(庄家，尤指谷物)
rebarbative a.令人讨厌的，冒犯人的
rebuff v.断然拒绝
rebuttal n.反驳
recall v.回想，回忆起；收回；n.唤回，召回
recant v.撤回（声明），放弃(以前的信仰)
receipt n.收到，接到；发票，收据
recess n.壁凹(墙上装的架子、柜子等凹处)；(工作)休假期；(法庭、国会)休庭期
recherche a.精心挑选的；异国风味的
recipe n.食谱
reckon v.推断，估计；猜想，设想
recline v.斜倚, 躺卧
recollection n.记忆力；记忆中的往事
recombine v.重组，再结合
recompense v.报酬，赔偿
reconnoiter v.侦查，勘察
recruit n.新兵；新成员；v.征募
rectitude n.诚实，正直
recumbent a.(人)躺着的，斜靠的；休息的
recusant n.拒绝服从的人
redemptive a.(用以)赎回的，救赎的，救世的
redolent a.芬芳的，芳香的
redoubtable a.可敬畏的，可怕的
redress n.改正，修正
redundancy n.过剩，裁员；备份；似乎多余其实重要的后备力量
reek v.发臭味；冒烟
reel n.卷轴，旋转；v.卷…于轴上
refectory n.(学院)餐厅，食堂
refraction n.折射
refresh v.消除…的疲劳，使精神振作
refulgent a.辉煌的，灿烂的
refurbish v.擦亮
refute v.驳斥
regime n.政权，政治制度
regress v.使倒退，复原，逆行
regurgitate v. 涌回 反胃 流回 反刍
rehearse v.排练，预演；详述
reincarnate v. 转世 使转世, 使再生
rejoice v.喜欢，高兴
rejoin v.回答，答辩；重新加入
rejoinder n.回答
rejuvenate v.使年轻
relapse n.旧病复发；再度恶化，倒退；v.旧病复发，再恶化
reliance n.信赖，信任
relic n.遗物，遗迹
remainder n.剩余的人或物
remains n.遗址，废墟
remand v.遣回；召回
reminder n.提醒人，记忆之物
reminisce v.&n.追忆，怀旧
remission n.宽恕，豁免
#List
remit v.免除；宽恕；汇款
remittance n.汇款
remonstrance n.抗议，抱怨
remonstrate v.抗议；告诫
remunerate v.酬劳，赔偿
renal a.肾脏的
renascent adj. 新生的
rend v.撕裂；猛拉
rendering n.演出；翻译
rendition n.表演；演唱
renege v.背信，违约
renovate v.修复，装修，翻新(尤指旧建筑)
rent n.裂缝，破裂处；(意见)分歧
renunciate v.放弃
repartee n.快速机灵的回答
repent v.懊悔，后悔
repercussion n.反响，后果，(尤指不良的)间接影响；回声
repine v.不满，抱怨
repose n./v.休息，安睡
reprehend v.谴责，责难
repressed a.(情感)被压制的，被压抑的
reprieve v.缓刑，暂时解救；n.缓刑，暂缓
reprobate v.非难，斥责；adj./n.堕落的(人)
reproof n.责斥，责备
repulsion n.厌恶，反感；(物)排斥力
requite v.报答；报复
rescission n.废除，撤销
resentment n.愤恨，怨恨
residue n.剩余物
resigned a.顺从的，顺从的
resilience n.弹性，弹力，迅速恢复的能力
resound v.回荡着声音；鸣响
resourceful a.机智的，善于随机应变的
resplendent a.华丽的，辉煌的
restiveness n.倔强，难以驾御
restless a.焦躁不安的；不安静的
restored a.恢复至原状的，复修至原状的
restrain v.克制，抑制
resurgence n.再起，复活，再现，复兴
retaliation n.报复
retard v.妨碍；减速
retch v.作呕，恶心
retention n.保留，保持
retiring a.隐居的，不喜欢社交的
retort v.反驳
retouch v.(照片、画)修描，润色
retrace v.回顾，追溯；原路折返
retreat n./v.撤退；隐居处
retrench v.节省，紧缩费用
revenge v.&n.报复，报仇
revenue n.总收入；国家的税收收入
reversion n.恢复，复原；逆转
revive v.使苏醒；再流行，使重新使用
revolt v.叛乱，造反；反感
revulsion n.厌恶，憎恨；剧变
rewarding a.有益的，值得做的
rhubarb n.(植物)大黄；v./n.喧闹争吵
ribald adj. 说话猥亵的, 卑贱的, 下流的
rife a.(尤指不良事物或现象)流行的，普遍的
rifle n.步枪；v.搜查并抢劫
rig v.（用不正当手段）操纵，垄断
rigor n.严酷；严格，苛刻；(尤指思想)严密，精确
rile v.使…恼火，激怒
rind n.(瓜、果等的)硬外皮
rinse v.冲洗掉，漂净
riot v.参加暴动
riotous a.暴乱的；喧闹的
ripen v.使成熟
ripple v.起涟漪；n.细浪，涟漪
ritzy a.高雅的；势力的
rive v.撕开，分裂
riven a.撕裂的，分裂的
riveting a.（褒）非常精彩的，吸引人的
roe n.鱼卵
rollicking a.欢乐地，喧闹的
rotate v.旋转，转动；轮流，交替
rote n.死记硬背
rotten a.腐烂的；(人)腐败的；糟糕的，极差的
roundabout a.绕道的，迂回的
rout n.溃败
rove v.漂泊，流浪
ruckus n.喧闹，骚动
rudder n.船舵；领导者
ruddy a.（脸色）红润的，红的
rue n.后悔，遗憾
ruffle v.弄皱或弄乱；激怒；n.皱边(装饰衣服)
rumble v.发出低沉的隆隆声
ruminate v.反刍；沉思
rumple v.弄皱，弄乱
rumpus n.喧闹，骚动
runic a.北欧古代文字的；神秘的
rupture n./v.破裂，断裂
rural a.乡村的
ruse n.骗术，计策
rustle v.发出沙沙声
ruthlessness n.无情，残忍
sacrament n.圣礼，圣事
sacrilege n.亵渎，冒犯神灵
sadden v.使伤心，使悲哀
saddle n.鞍，马鞍
sag v.松弛，下垂
salmon n.大麻哈鱼；鲜肉色
salutation n.招呼，致意，敬礼
salute v.行举手礼；向…致意；n.敬礼
salve n.药膏；v.减轻，缓和(痛苦，愧疚)
sampler n.刺绣花样；样品检查员
sangfroid n.沉着，冷静
sanitize v.使清洁
sanity n.头脑清楚，神智健全
sardonic a.讽刺的,嘲笑的
sartorial a.裁缝的，缝制的
sash n.肩带
satanic adj. 撒旦的 恶魔似的, 极恶的
sate v.使心满意足；使厌腻
satiny a.光滑的，柔软的
satire n.讽刺(作品)
saturated a.渗透的，湿透的，饱和的；深颜色的
saucy a.粗鲁的；俏皮的
saunter n./v.闲逛，漫步
savvy a.有见识的，精明能干的
scabrous a.粗糙的
scads n.许多，大量
scald v./n.烫伤，烫洗
scalding a.滚烫的
scamp n. 流氓
scamper v.奔跑，蹦蹦跳跳
scan v.审视，细看；浏览，扫描；标出格律
scandal n.丑闻；恶意的诽谤，流言蜚语
scar n.伤痕，伤疤
scare n./v. 惊吓，受惊
scatter v.散开，驱散
schematize v.扼要表示
scintillate v.闪烁；（言谈举止中）焕发才智
scission n.切断，分离，断开
scissor n.剪刀
scoff v.嘲笑；狼吞虎咽；n.嘲笑，笑柄
scorch v.烤焦，烧焦
scorching a.灼热的
scotch v.镇压，扑灭
scowl n.怒容；v.生气地皱眉，怒视
scraggly a.凹凸不平的；散乱的
scrape v.刮，擦；擦掉
scrawl v.潦草地写，乱涂
scribble v.乱写，乱涂
scrimp v.节省，精打细算
scripture n.经文，圣典；圣经(=the Bible)
scruffy a.肮脏的，不洁的
scrumptious a.美味的，可口的
scrutable a.可以理解的，可解读的
scud v.疾行，飞奔
scuff v.拖着脚走
scurry v.(小步)急跑，疾行
scurvy a.卑鄙的，可鄙的；n.坏血病
scutter v.疾走，飞奔
seafaring a.航海的，跟航海有关的
#List
seam n.缝，接缝(尤指布)
seamy a.肮脏的，污秽的，恶劣的，丑恶的
sear v.(以烈火)烧灼，烧焦
seasoned a.有经验的，训练有素的
secretive a.守口如瓶的
sedulity n.勤奋，勤勉
seep v.(液体等)渗漏
self-assertion n.自作主张
senile a.衰老的
sensible a.明智的，合理的；可感觉到的
sententious a.说教的，简要的
sentiment n.多愁善感，思想感情
sentinel n.哨兵，卫兵
sentry n.哨兵
sequacious a.盲从的
sequestrate v.扣押，没收
seraphic a.如天使般的，美丽的
sere a.干枯的，凋萎的
serenade n.夜曲
sermon n.布道，说教，训诫
serpentine a.蜿蜒的
serried a.(人或物的行列)密集的
settle v.安置于；决定，解决；栖息，停歇一时
sever v.断绝，分离
severe a.严厉的，剧烈的
shabby a.破旧的；卑鄙的
shamble v.蹒跚而行，踉跄地走
sheaf n.一捆，一束
shear v.剪(羊毛)，剪发
sheen n.光辉，光泽
sheer a.完全的；陡峭的；极薄的
shelter n.掩蔽处；掩蔽；v.提供庇护，保护
shield n.盾；v.庇护，遮挡
shilly-shally v.犹豫不决；虚度光阴
shipshape a.整洁的，井然有序的
shirk v.逃避，回避
shoddy n.劣质的，假冒的
shove v.推挤，猛推
showy a.俗艳的；炫耀的
shrewd a.机灵的，精明的
shriek v.尖叫
shudder v./n.(因寒冷、恐惧等)战栗，发抖
shuttle v.穿梭移动，往返运送
sibyl n.女预言家，女先知
sideline n.副业，兼职
sideshow n.(马戏团，游乐场的)杂耍，穿插表演
sidestep v.横跨一步以躲避；回避
siege n.包围，围攻
sift v.筛，过滤
signature n.签名，署名
signify v.表示；有重要性
simile n.明喻
simmer v.炖，慢煮 n.即将沸腾的状态
simonize v.给…打蜡，把…擦亮
simper v.假笑，傻笑
simulate v.假装，模仿
simultaneous a.同时发生的
singe v.(轻微地)烧焦，烫焦
sip v.啜饮；n.一小口，抿；一小口的量
